City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Urucará,-2.5364,-57.76,86.77,60,83,5.23,BR,1643732699
Muli,2.9167,73.5667,83.55,74,39,14.45,MV,1643732700
Yellowknife,62.456,-114.3525,-27.58,75,0,9.22,CA,1643732456
Cabedelo,-6.9811,-34.8339,88.47,64,13,12.82,BR,1643732700
Union,40.6334,-74.2663,36.27,57,0,5.75,US,1643732436
Vaini,-21.2,-175.2,75.36,94,20,3.44,TO,1643732476
Setermoen,68.861,18.3486,9.1,85,84,9.78,NO,1643732701
Khatanga,71.9667,102.5,-34.67,100,20,3.58,RU,1643732655
Río Gallegos,-51.6226,-69.2181,57.25,24,75,49.48,AR,1643732701
Saldanha,-33.0117,17.9442,75.25,82,19,11.03,ZA,1643732786
Lishui,28.4604,119.9103,38.21,98,100,2.28,CN,1643732786
Cherskiy,68.75,161.3,-6.07,81,100,1.72,RU,1643732787
Rikitea,-23.1203,-134.9692,77.83,68,28,7.78,PF,1643732398
Kapaa,22.0752,-159.319,65.12,75,75,5.75,US,1643732473
Mar del Plata,-38.0023,-57.5575,78.82,50,0,25.01,AR,1643732208
Albany,42.6001,-73.9662,33.67,53,7,5.01,US,1643732443
Yar-Sale,66.8333,70.8333,-15.74,99,67,6.82,RU,1643732787
Bluff,-46.6,168.3333,61.81,92,56,9.04,NZ,1643732398
Yulara,-25.2406,130.9889,67.84,100,100,11.5,AU,1643732788
Tahoua,14.8888,5.2692,82.38,6,1,6.91,NE,1643732788
Hermanus,-34.4187,19.2345,81.9,76,3,6.58,ZA,1643732405
Kavaratti,10.5669,72.642,80.82,69,5,7.76,IN,1643732788
Barrow,71.2906,-156.7887,-14.78,76,0,0.0,US,1643732408
Chui,-33.6971,-53.4616,74.86,38,0,3.91,UY,1643732789
Ushuaia,-54.8,-68.3,46.02,81,75,29.93,AR,1643732402
Hobart,-42.8794,147.3294,52.05,59,55,4.0,AU,1643732400
Lemon Tree Passage,-32.7327,152.036,75.9,92,100,1.01,AU,1643732789
Punta Arenas,-53.15,-70.9167,51.82,57,40,35.68,CL,1643732162
Faanui,-16.4833,-151.75,81.07,74,7,18.68,PF,1643732790
Lincoln,40.8,-96.667,36.14,54,0,7.0,US,1643732557
Ailigandí,9.2333,-78.0167,79.86,72,98,7.54,PA,1643732790
Hilo,19.7297,-155.09,67.62,83,100,6.91,US,1643732277
Fort-Shevchenko,44.5086,50.263,38.71,87,69,6.35,KZ,1643732790
Sørland,67.667,12.6934,30.06,54,100,22.97,NO,1643732405
Cape Town,-33.9258,18.4232,83.08,45,20,1.99,ZA,1643732211
Sakakah,29.9697,40.2064,54.97,39,0,6.38,SA,1643732791
Hasaki,35.7333,140.8333,36.0,50,2,20.8,JP,1643732407
Bredasdorp,-34.5322,20.0403,76.28,49,1,12.62,ZA,1643732482
Yārāda,17.65,83.2667,73.72,83,20,2.3,IN,1643732791
Tiksi,71.6872,128.8694,-17.01,100,100,3.53,RU,1643732792
Busselton,-33.65,115.3333,62.04,59,0,20.58,AU,1643732478
Bouca,6.5105,18.2733,92.88,11,5,3.47,CF,1643732792
Abu Samrah,35.3029,37.1841,50.95,71,46,7.18,SY,1643732793
Huarmey,-10.0681,-78.1522,75.42,72,26,9.86,PE,1643732793
Henties Bay,-22.116,14.2845,73.85,68,67,8.86,NA,1643732793
Port Blair,11.6667,92.75,75.24,83,40,2.3,IN,1643732511
Talnakh,69.4865,88.3972,6.21,95,100,9.26,RU,1643732794
Merauke,-8.4667,140.3333,77.79,83,100,9.17,ID,1643732705
Dajal,29.5577,70.3762,63.16,25,0,1.95,PK,1643732854
George Town,5.4112,100.3354,85.93,79,20,4.61,MY,1643732416
Avarua,-21.2078,-159.775,78.85,83,20,11.5,CK,1643732478
Mehamn,71.0357,27.8492,21.38,62,0,9.22,NO,1643732855
Kargasok,59.0556,80.8572,20.14,94,100,8.63,RU,1643732855
Port Alfred,-33.5906,26.891,78.8,78,100,11.59,ZA,1643732484
Ribeira Grande,38.5167,-28.7,63.0,72,20,23.02,PT,1643732472
Airai,-8.9266,125.4092,61.07,86,85,3.62,TL,1643732475
Mataura,-46.1927,168.8643,61.48,95,42,4.03,NZ,1643732275
Saint-Philippe,-21.3585,55.7679,81.95,86,54,17.69,RE,1643732338
Riyadh,24.6877,46.7219,62.74,19,0,14.54,SA,1643732687
Saskylakh,71.9167,114.0833,-27.92,100,50,1.43,RU,1643732745
Sorong,-0.8833,131.25,79.79,77,100,10.65,ID,1643732856
Bethel,41.3712,-73.414,33.89,57,0,3.44,US,1643732856
Laguna,38.421,-121.4238,50.29,55,0,5.99,US,1643732857
Fortuna,40.5982,-124.1573,38.32,85,0,8.05,US,1643732857
Upernavik,72.7868,-56.1549,-16.64,78,100,5.46,GL,1643732857
Okha,53.5739,142.9478,2.48,92,99,20.09,RU,1643732858
Verkhotur'ye,58.8627,60.8054,27.18,92,100,8.77,RU,1643732858
Porbandar,21.6422,69.6093,72.46,72,0,10.18,IN,1643732858
Atuona,-9.8,-139.0333,78.19,77,15,20.69,PF,1643732398
Tuatapere,-46.1333,167.6833,61.83,94,79,8.05,NZ,1643732859
Lorengau,-2.0226,147.2712,78.58,85,100,12.37,PG,1643732859
Diffa,13.3154,12.6113,74.68,16,4,11.59,NE,1643732859
Asău,46.4333,26.4,33.4,86,100,0.96,RO,1643732860
Kudahuvadhoo,2.6708,72.8944,82.71,76,45,15.32,MV,1643732860
Moree,-29.4667,149.85,77.02,83,100,0.0,AU,1643732860
Mazagão,-0.115,-51.2894,89.65,84,64,4.12,BR,1643732861
Santo Ângelo,-28.2992,-54.2631,97.12,24,40,9.22,BR,1643732861
Creel,27.75,-107.6333,43.88,37,0,6.87,MX,1643732861
Batagay-Alyta,67.8006,130.4114,-19.98,98,96,3.29,RU,1643732861
Tasiilaq,65.6145,-37.6368,6.96,74,91,5.46,GL,1643732740
Januária,-15.4833,-44.3667,88.23,51,96,4.18,BR,1643732862
Barinas,8.6226,-70.2075,87.49,48,99,11.5,VE,1643732862
Bambous Virieux,-20.3428,57.7575,80.22,94,75,19.57,MU,1643732862
Iqaluit,63.7506,-68.5145,-24.07,67,75,0.0,CA,1643732475
Camaná,-16.6228,-72.7111,73.99,74,99,9.37,PE,1643732863
Pisco,-13.7,-76.2167,75.25,69,40,5.75,PE,1643732697
Panabá,21.2833,-88.2667,78.37,49,39,14.25,MX,1643732863
Mugi,42.2994,47.4208,12.58,90,51,3.49,RU,1643732864
Longyearbyen,78.2186,15.6401,21.04,63,20,10.36,SJ,1643732864
Sterling,39.0062,-77.4286,38.59,59,75,1.01,US,1643732864
Palmer,42.1584,-72.3287,31.77,54,75,1.01,US,1643732697
Kahului,20.8947,-156.47,69.06,83,0,3.44,US,1643732478
New Norfolk,-42.7826,147.0587,51.71,42,51,3.83,AU,1643732379
Nikolskoye,59.7035,30.7861,26.49,98,99,2.57,RU,1643732474
Hong Kong,22.2855,114.1577,61.95,87,100,7.0,HK,1643732438
Avera,33.194,-82.5271,53.69,62,0,10.69,US,1643732925
Lebu,-37.6167,-73.65,65.95,66,1,11.63,CL,1643732925
Najrān,17.4924,44.1277,74.05,32,25,9.46,SA,1643732926
Mahébourg,-20.4081,57.7,80.26,94,75,19.57,MU,1643732926
Jamestown,42.097,-79.2353,34.3,46,0,10.0,US,1643732325
Tarakan,3.3,117.6333,80.87,77,91,10.42,ID,1643732926
Fort Smith,35.3859,-94.3986,60.42,74,100,3.0,US,1643732194
Cap Malheureux,-19.9842,57.6142,80.47,80,95,11.99,MU,1643732927
Tshikapa,-6.4167,20.8,79.7,80,87,1.66,CD,1643732927
Kita,13.0349,-9.4895,94.19,8,96,9.78,ML,1643732927
Mount Darwin,-16.7725,31.5838,73.09,81,61,4.52,ZW,1643732928
Butaritari,3.0707,172.7902,81.12,78,98,13.85,KI,1643732928
Petropavlovsk-Kamchatskiy,53.0452,158.6483,18.19,93,75,6.71,RU,1643732485
Mogadishu,2.0371,45.3438,78.94,83,100,17.67,SO,1643732928
Jesup,31.6074,-81.8854,63.68,48,0,6.91,US,1643732929
Bariloche,-41.1456,-71.3082,69.55,37,0,21.85,AR,1643732929
Lompoc,34.6391,-120.4579,56.12,70,0,6.91,US,1643732808
Manokwari,-0.8667,134.0833,77.31,84,100,9.62,ID,1643732929
Kampene,-3.6,26.6667,77.07,74,88,2.08,CD,1643732930
Chapais,49.7834,-74.8492,4.78,90,100,13.53,CA,1643732715
Belmonte,-15.8631,-38.8828,84.7,65,31,10.42,BR,1643732930
Puerto Ayora,-0.7393,-90.3518,82.36,83,87,5.01,EC,1643732479
Kismayo,-0.3582,42.5454,78.85,83,89,14.97,SO,1643732931
Aklavik,68.2191,-135.0107,-10.37,76,75,2.3,CA,1643732931
Tam Ky,15.5667,108.4833,69.78,85,94,4.63,VN,1643732931
Chifeng,42.2683,118.9636,12.16,45,0,7.27,CN,1643732931
Chake Chake,-5.2459,39.7666,79.84,77,8,10.33,TZ,1643732932
Nanortalik,60.1432,-45.2371,16.2,75,15,11.97,GL,1643732410
Cedar City,37.6775,-113.0619,24.4,60,0,4.61,US,1643732932
Springfield,37.2153,-93.2982,59.02,74,100,7.0,US,1643732832
Te Anau,-45.4167,167.7167,60.82,98,100,2.84,NZ,1643732933
Manaure,11.7751,-72.4445,87.91,58,38,10.13,CO,1643732933
Vitim,59.4511,112.5578,-2.6,99,100,3.6,RU,1643732933
Dudinka,69.4058,86.1778,6.62,94,100,14.81,RU,1643732933
Kloulklubed,7.0419,134.2556,79.3,76,100,18.68,PW,1643732934
Verkhnyaya Inta,65.9811,60.3094,-6.39,95,23,5.08,RU,1643732934
Kaeo,-35.1,173.7833,70.32,91,100,13.04,NZ,1643732934
Arraial do Cabo,-22.9661,-42.0278,85.96,74,75,12.66,BR,1643732935
Pineville,31.3224,-92.4343,64.69,78,100,1.99,US,1643732935
Tautira,-17.7333,-149.15,75.22,77,29,19.57,PF,1643732935
Sørkjosen,69.8,20.9333,19.4,45,0,13.8,NO,1643732936
Tuktoyaktuk,69.4541,-133.0374,-23.8,76,0,2.3,CA,1643732276
Panguna,-6.3164,155.4848,68.76,95,100,1.32,PG,1643732962
Guerrero Negro,27.9769,-114.0611,60.13,71,96,9.69,MX,1643732996
Metro,-5.1131,105.3067,77.88,84,100,1.83,ID,1643732997
Shimoda,34.6667,138.95,39.11,64,6,30.27,JP,1643732997
Manggar,-2.8833,108.2667,78.69,81,88,6.2,ID,1643732997
Provideniya,64.3833,-173.3,6.24,68,30,21.65,RU,1643732998
Bengkulu,-3.8004,102.2655,75.72,91,100,7.4,ID,1643732998
Bozoum,6.3193,16.3799,90.0,12,66,6.13,CF,1643732998
Patterson,37.4716,-121.1297,47.05,40,1,13.85,US,1643732656
Mata Grande,-9.1175,-37.7322,92.73,29,4,6.96,BR,1643732999
Chegdomyn,51.1167,133.0167,-17.37,100,93,1.43,RU,1643732999
Włodawa,51.55,23.55,30.51,80,99,8.52,PL,1643732999
Leningradskiy,69.3833,178.4167,-12.03,94,26,11.88,RU,1643732956
Birao,10.2849,22.7882,85.01,13,23,4.9,CF,1643733000
Mīnāb,27.1467,57.0801,71.1,83,0,0.0,IR,1643733000
Itoman,26.1247,127.6694,64.78,72,100,9.22,JP,1643733001
Flin Flon,54.7682,-101.865,-14.96,64,20,14.97,CA,1643733001
Aksarka,66.5606,67.7975,-17.77,100,84,6.42,RU,1643733002
Fort Nelson,58.8053,-122.7002,-20.61,76,75,3.44,CA,1643733003
Flinders,-34.5833,150.8552,75.18,82,100,7.0,AU,1643733004
Ambon City,-3.6954,128.1814,77.14,88,40,5.75,ID,1643733005
Jalu,29.0331,21.5482,61.09,33,63,10.16,LY,1643733006
Xining,36.6167,101.7667,14.7,68,96,2.26,CN,1643733006
Mandera,3.9366,41.867,89.44,27,92,7.76,KE,1643733007
Bandarbeyla,9.4942,50.8122,76.96,80,82,16.62,SO,1643733008
Clyde River,70.4692,-68.5914,-23.57,69,20,5.75,CA,1643732865
Port-Cartier,50.0334,-66.8654,2.75,74,11,0.83,CA,1643732827
Puerto Madero,14.7208,-92.4215,84.4,61,0,3.44,MX,1643733010
Xiangxiang,27.7333,112.5333,40.41,95,100,6.98,CN,1643732802
East London,-33.0153,27.9116,76.14,88,75,5.75,ZA,1643733010
Vila Velha,-20.3297,-40.2925,93.15,62,0,8.01,BR,1643732787
Shaunavon,49.6501,-108.4181,-6.02,97,98,11.63,CA,1643732758
Pathein,16.7833,94.7333,63.66,64,60,5.08,MM,1643733011
Chokurdakh,70.6333,147.9167,-16.58,97,100,0.96,RU,1643732480
Novoagansk,61.9449,76.6625,0.27,99,100,2.55,RU,1643733012
Aitape,-3.1374,142.3475,76.71,91,100,6.46,PG,1643733012
Pierre,44.3683,-100.351,18.86,54,0,3.0,US,1643733007
Voh,-20.9667,164.7,74.8,86,26,2.37,NC,1643733013
Nome,64.5011,-165.4064,24.87,39,0,13.8,US,1643733013
Province of Mantua,45.1667,10.7833,57.52,43,0,1.99,IT,1643733013
Sovetskiy,61.3614,63.5842,-0.33,100,74,4.9,RU,1643733014
Katherine,-14.4667,132.2667,77.32,78,68,8.05,AU,1643733014
Kruisfontein,-34.0033,24.7314,79.88,62,36,12.17,ZA,1643732472
Havøysund,70.9963,24.6622,23.88,70,89,10.02,NO,1643733015
Bubaque,11.2833,-15.8333,79.43,72,15,12.55,GW,1643733075
Iwanai,42.9744,140.5089,24.69,91,100,5.32,JP,1643733075
Basco,20.4487,121.9702,72.79,77,100,18.5,PH,1643732484
Itarema,-2.9248,-39.9167,86.31,62,95,16.15,BR,1643733076
Faya,18.3851,42.4509,59.11,68,5,3.71,SA,1643733076
Copiapó,-27.3667,-70.3333,71.29,36,11,9.53,CL,1643733076
Isangel,-19.55,169.2667,77.83,88,100,3.62,VU,1643733077
Vostok,46.4856,135.8833,-4.79,98,99,4.38,RU,1643733077
Gouyave,12.1646,-61.7296,84.97,66,40,23.02,GD,1643733078
Springbok,-29.6643,17.8865,74.05,58,17,9.15,ZA,1643733078
Kot Radha Kishan,31.1725,74.0997,59.11,48,1,4.41,PK,1643733078
Albeşti,47.7,27.0667,37.81,79,95,3.33,RO,1643733079
Puerto Gaitán,4.3133,-72.0816,93.81,24,100,15.35,CO,1643732998
Taoudenni,22.6783,-3.9836,82.56,13,33,13.87,ML,1643733079
Dothan,31.2232,-85.3905,63.61,58,0,3.0,US,1643733080
Athens,37.9795,23.7162,60.13,79,75,8.99,GR,1643732988
Mormugao,15.4,73.8,78.06,78,0,5.75,IN,1643733080
Cabo San Lucas,22.8909,-109.9124,71.51,52,0,3.44,MX,1643733080
Deer Lake,49.1667,-57.4316,15.66,53,40,13.8,CA,1643733081
Juneau,58.3019,-134.4197,23.05,89,20,0.0,US,1643733016
Bagar,28.1874,75.5005,59.65,38,0,5.7,IN,1643733081
Severo-Kuril'sk,50.6789,156.125,24.82,78,37,8.21,RU,1643733008
Kinablangan,7.6947,126.5503,76.62,85,95,5.93,PH,1643733082
Manaus,-3.1019,-60.025,86.5,70,75,8.05,BR,1643733007
São Filipe,14.8961,-24.4956,75.25,75,100,5.91,CV,1643733082
Berlevåg,70.8578,29.0864,17.6,72,40,12.5,NO,1643733083
Baruun-Urt,46.6806,113.2792,-10.26,90,4,4.47,MN,1643733083
Enshi,30.3,109.4833,37.54,96,100,3.94,CN,1643733083
Hithadhoo,-0.6,73.0833,82.92,72,14,13.71,MV,1643733084
Atar,20.5169,-13.0499,90.7,7,85,16.87,MR,1643732945
Naze,28.3667,129.4833,54.91,72,100,11.83,JP,1643733042
Kutoarjo,-7.7169,109.9128,78.15,89,97,2.91,ID,1643732882
Charters Towers,-20.1,146.2667,78.53,79,100,5.99,AU,1643733084
Burnie,-41.0667,145.9167,53.92,71,17,10.4,AU,1643733085
Santa Isabel,-23.3156,-46.2214,78.66,77,98,9.82,BR,1643733085
Ilulissat,69.2167,-51.1,3.22,55,75,13.8,GL,1643733085
Lakes Entrance,-37.8811,147.981,61.57,75,68,14.76,AU,1643733086
Biak,-0.9131,122.8766,77.76,77,100,5.37,ID,1643733086
Yangi Marg`ilon,40.4272,71.7189,31.42,74,8,6.91,UZ,1643733086
Port Lincoln,-34.7333,135.8667,60.22,59,3,19.06,AU,1643732813
Kavieng,-2.5744,150.7967,77.59,87,100,8.72,PG,1643733087
Raudeberg,61.9875,5.1352,35.87,94,100,1.01,NO,1643733087
Carnarvon,-24.8667,113.6333,77.07,83,43,20.71,AU,1643733088
Namatanai,-3.6667,152.4333,77.67,86,92,5.21,PG,1643733088
Soure,-0.7167,-48.5233,81.52,77,67,8.39,BR,1643733088
Vao,-22.6667,167.4833,76.08,84,94,8.14,NC,1643733089
Grindavik,63.8424,-22.4338,30.67,100,100,14.97,IS,1643733149
Pahrump,36.2083,-115.9839,49.17,28,100,2.53,US,1643732972
Norman Wells,65.282,-126.8329,-16.56,69,75,2.3,CA,1643733149
Waldoboro,44.0954,-69.3756,25.54,80,35,4.94,US,1643733150
Coquimbo,-29.9533,-71.3436,65.93,72,100,8.05,CL,1643733150
Balaipungut,1.05,101.2833,77.41,94,100,1.7,ID,1643733150
Coyhaique,-45.5752,-72.0662,67.95,45,75,9.22,CL,1643733151
Longhua,23.6137,114.1919,49.91,93,100,3.51,CN,1643733151
Diego de Almagro,-26.3667,-70.05,80.2,23,0,12.01,CL,1643733151
Thompson,55.7435,-97.8558,-20.04,69,75,13.8,CA,1643733151
Beisfjord,68.3751,17.5988,23.05,62,93,11.54,NO,1643733152
Carbonia,39.1672,8.5222,54.01,75,8,12.71,IT,1643733152
Lata,40.1629,-8.3327,66.92,52,0,8.77,PT,1643733152
Acaraú,-2.8856,-40.12,87.08,60,94,16.24,BR,1643733000
Pozo Colorado,-23.4923,-58.7972,106.36,14,0,5.79,PY,1643733153
Maracás,-13.4411,-40.4308,82.89,45,17,5.44,BR,1643733153
Filingué,14.3521,3.3168,80.67,6,3,8.52,NE,1643733153
Cidreira,-30.1811,-50.2056,75.85,63,91,9.06,BR,1643733154
Cherëmukhovo,60.3484,59.9851,7.77,98,100,0.94,RU,1643733154
Sajanan,37.0573,9.2426,53.87,67,34,22.48,TN,1643733154
Rocha,-34.4833,-54.3333,78.19,34,0,2.98,UY,1643733155
San Cristobal,7.7669,-72.225,73.58,32,54,8.3,VE,1643733155
Paamiut,61.994,-49.6678,16.18,84,100,8.52,GL,1643733155
La Palma,33.8464,-118.0467,57.83,86,75,3.0,US,1643733155
Santa Isabel Rio Negro,-0.4139,-65.0192,93.02,45,88,4.97,BR,1643733156
Hurghada,27.2574,33.8129,64.44,48,0,0.0,EG,1643732998
Lagoa,39.05,-27.9833,59.07,78,24,17.85,PT,1643733021
Codajás,-3.8367,-62.0569,83.66,80,69,3.58,BR,1643733156
Qui Nhon,13.7667,109.2333,72.63,88,100,9.55,VN,1643733156
Murgab,37.4966,61.9714,53.47,43,100,4.61,TM,1643733157
Hegang,47.4,130.3667,-3.75,92,40,5.48,CN,1643733157
Qaanaaq,77.484,-69.3632,-15.93,85,100,8.9,GL,1643733157
Ust'-Omchug,61.15,149.6333,-6.0,96,100,7.72,RU,1643733158
Kommunisticheskiy,61.6789,64.4819,-3.26,100,48,4.68,RU,1643733158
Banda Aceh,5.5577,95.3222,78.42,81,34,5.7,ID,1643733158
Nelson Bay,-32.7167,152.15,76.08,93,100,10.33,AU,1643733159
Tabuk,17.4189,121.4443,69.48,91,95,0.74,PH,1643733159
San Patricio,28.017,-97.5169,66.06,68,94,6.64,US,1643733160
Cururupu,-1.8283,-44.8683,88.12,57,86,8.01,BR,1643733160
Três Passos,-27.4556,-53.9319,98.89,14,0,4.32,BR,1643733160
Fairview Heights,38.5889,-89.9904,57.72,56,75,8.05,US,1643733161
Porto Santo,33.072,-16.3415,67.91,72,0,23.02,PT,1643733161
Yarkovo,57.4028,67.0786,10.49,96,74,6.15,RU,1643733161
Goderich,43.7501,-81.7165,34.92,69,100,17.27,CA,1643733162
Tiarei,-17.5333,-149.3333,75.22,77,10,21.47,PF,1643733162
