City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Myanaung,18.2833,95.3167,61.77,35,3,2.84,MM,1643733222
Okhotsk,59.3833,143.3,0.61,78,66,17.54,RU,1643733223
Luena,-11.7833,19.9167,68.9,77,79,4.45,AO,1643733223
Yerbogachën,61.2767,108.0108,-25.44,100,73,1.9,RU,1643733223
Carballo,43.213,-8.691,60.76,81,0,9.82,ES,1643733185
North Adams,42.7009,-73.1087,32.32,44,0,10.36,US,1643733030
Jurilovca,44.7667,28.8667,38.01,87,100,3.18,RO,1643733224
Kaitangata,-46.2817,169.8464,58.59,97,73,5.3,NZ,1643733224
Salalah,17.0151,54.0924,75.29,60,0,4.61,OM,1643733224
Dikson,73.5069,80.5464,1.83,92,100,19.22,RU,1643733187
Lamballe,48.4676,-2.5144,50.94,93,35,1.01,FR,1643733225
Eyl,7.9803,49.8164,76.37,78,83,22.17,SO,1643733225
Vestmannaeyjar,63.4427,-20.2734,31.19,93,100,6.91,IS,1643733225
Kikwit,-5.041,18.8162,79.2,67,40,1.66,CD,1643733226
Bhopal,23.2667,77.4,61.03,82,0,2.3,IN,1643733181
Lüderitz,-26.6481,15.1594,67.96,82,43,9.4,NA,1643733226
Mananjary,-21.2167,48.3333,76.91,83,12,7.4,MG,1643733226
Zheleznodorozhnyy,55.7503,38.0042,30.61,94,100,9.42,RU,1643733171
Chicama,-7.8447,-79.1469,68.54,54,89,10.71,PE,1643733227
‘Āhuimanu,21.4447,-157.8378,73.11,85,20,1.99,US,1643733227
Beloha,-25.1667,45.05,75.38,75,0,22.1,MG,1643733227
Dubbo,-32.25,148.6167,73.53,94,100,4.61,AU,1643733228
Popondetta,-8.7537,148.2534,74.19,95,100,2.51,PG,1643733228
Kenai,60.5544,-151.2583,17.65,75,100,21.85,US,1643733228
São João da Barra,-21.6403,-41.0511,91.49,80,99,7.09,BR,1643733228
Tommot,58.9564,126.2925,-7.11,95,100,8.23,RU,1643733229
Turtas,58.9417,69.1325,2.73,99,74,4.07,RU,1643733132
Berdigestyakh,62.0989,126.6992,-18.67,96,100,7.31,RU,1643733229
Rafaela,-31.2503,-61.4867,91.0,37,0,5.01,AR,1643733229
Santa Maria,-29.6842,-53.8069,85.3,62,20,6.91,BR,1643733019
Novo Aripuanã,-5.1206,-60.3797,87.51,63,68,3.85,BR,1643733230
Aykhal,66.0,111.5,-23.91,100,27,3.42,RU,1643733230
Narsaq,60.9167,-46.05,19.62,88,79,2.64,GL,1643733230
Castro,-24.7911,-50.0119,78.31,60,35,0.69,BR,1643733153
Bambanglipuro,-7.95,110.2833,63.61,88,86,3.18,ID,1643733231
Ostrovnoy,68.0531,39.5131,13.48,95,100,4.05,RU,1643733231
Tucuruí,-3.7661,-49.6725,82.15,81,86,2.37,BR,1643733232
Kamenka,51.3223,42.7678,22.32,95,94,10.18,RU,1643733232
Husavik,66.0449,-17.3389,19.31,80,47,10.76,IS,1643733232
Arrifes,37.7667,-25.7,64.24,72,20,16.11,PT,1643733232
Sobolevo,54.4299,31.8996,19.31,93,98,10.45,RU,1643733233
Perth,-31.9333,115.8333,71.78,44,0,18.41,AU,1643733081
Mazara del Vallo,37.6641,12.588,55.35,50,5,25.19,IT,1643733233
Ushtobe,45.2514,77.9838,20.1,89,10,8.81,KZ,1643733233
Hofn,64.2539,-15.2082,22.59,59,2,8.05,IS,1643733234
Bandar,2.05,99.75,72.57,97,100,3.04,ID,1643733234
Chabahar,25.2919,60.643,73.33,70,0,10.71,IR,1643733234
Hargeisa,9.56,44.065,63.41,76,76,11.07,SO,1643733235
Severnyy-Kospashskiy,59.0925,57.8008,27.61,91,100,11.12,RU,1643733235
Saint Paul Harbor,57.79,-152.4072,35.11,93,100,21.85,US,1643733035
Saint Anthony,45.0205,-93.218,19.81,72,100,8.01,US,1643733295
Karlskoga,59.3267,14.5239,24.12,64,100,10.25,SE,1643733296
Beruwala,6.4788,79.9828,79.38,73,41,3.44,LK,1643733296
Acapulco de Juárez,16.8634,-99.8901,80.42,69,0,0.0,MX,1643733082
Gravdal,68.1214,13.5031,29.88,55,100,14.47,NO,1643733296
Barra de Tecoanapa,16.5167,-98.75,81.99,56,0,6.78,MX,1643733296
Kalininsk,51.5,44.4758,30.61,90,99,15.7,RU,1643733297
Bozeman,45.6796,-111.0386,18.88,83,100,1.99,US,1643733297
Suntar,62.1444,117.6319,-24.72,99,86,3.6,RU,1643733297
Hamilton,39.1834,-84.5333,49.71,53,75,1.01,US,1643733028
Los Llanos de Aridane,28.6585,-17.9182,66.13,77,75,7.0,ES,1643733298
Sola,-13.8833,167.55,78.96,86,100,17.4,VU,1643733298
Yurty,56.0498,97.6348,-4.81,100,97,1.81,RU,1643733298
Córdoba,-31.4135,-64.1811,92.43,50,20,5.01,AR,1643733207
Boyolangu,-8.1181,111.8935,74.41,92,97,5.12,ID,1643733299
Chernyshevskiy,63.0128,112.4714,-31.05,100,19,2.04,RU,1643733299
Klaksvík,62.2266,-6.589,32.92,73,100,27.67,FO,1643733300
Spitsevka,45.1231,42.5125,36.01,94,100,3.67,RU,1643733300
Abū Zabad,12.35,29.25,70.36,17,56,10.22,SD,1643733300
Atambua,-9.1061,124.8925,74.35,87,56,6.91,ID,1643733301
Souillac,-20.5167,57.5167,79.36,94,75,19.57,MU,1643733301
Esim,4.8699,-2.2405,83.57,67,40,11.5,GH,1643733302
Punta Alta,-38.8759,-62.0736,89.24,28,24,13.69,AR,1643733302
Berezovyy,51.6667,135.7,-0.54,99,100,2.55,RU,1643733303
Plainview,40.7765,-73.4673,36.0,63,0,1.99,US,1643733303
Amapá,1.0,-52.0,79.07,91,88,3.33,BR,1643733303
Zaysan,47.4667,84.8667,4.57,96,100,1.52,KZ,1643733304
Chiredzi,-21.05,31.6667,82.33,44,5,4.59,ZW,1643733304
Río Cuarto,-33.1307,-64.3499,87.57,51,0,16.11,AR,1643733053
Meadow Lake,34.8014,-106.5436,49.73,24,40,4.45,US,1643733082
Nagapattinam,10.7667,79.8333,75.02,73,7,10.13,IN,1643733305
Raja,8.4596,25.678,77.02,19,2,4.03,SS,1643733305
Bontang,0.1333,117.5,78.06,87,100,9.95,ID,1643733305
Iquique,-20.2208,-70.1431,75.24,65,0,8.63,CL,1643733306
Codrington,-38.2667,141.9667,56.23,55,47,14.0,AU,1643733306
Bichena,10.45,38.2,64.35,36,87,1.59,ET,1643733306
Vanavara,60.34,102.2797,-2.96,99,100,3.22,RU,1643733307
Satun,6.8333,100.0,82.11,91,74,3.38,TH,1643733307
Mariinsk,56.2139,87.7472,12.54,95,99,5.39,RU,1643733307
Karratha,-20.7377,116.8463,88.18,57,99,6.15,AU,1643733308
Altay,47.8667,88.1167,13.53,75,100,3.51,CN,1643733308
Aljezur,37.3191,-8.8033,60.06,52,0,4.52,PT,1643733308
Acajutla,13.5928,-89.8275,88.14,59,2,6.76,SV,1643733309
Gumlā,23.05,84.55,59.04,37,3,4.38,IN,1643733369
Mattru,7.6244,-11.8332,95.63,22,83,3.06,SL,1643733370
Morgan City,29.6994,-91.2068,66.2,94,100,11.5,US,1643733370
Bay Roberts,47.5999,-53.2648,29.34,51,16,8.01,CA,1643733370
São Gabriel da Cachoeira,-0.1303,-67.0892,89.4,62,40,4.61,BR,1643733371
Pevek,69.7008,170.3133,-13.43,88,85,1.81,RU,1643733371
Mahajanga,-15.7167,46.3167,84.22,74,20,9.22,MG,1643733371
Bac Lieu,9.285,105.7244,78.33,79,40,16.46,VN,1643733372
Lovington,32.944,-103.3485,47.64,20,34,12.12,US,1643733372
Sakon Nakhon,17.1612,104.1472,71.15,99,26,6.62,TH,1643733372
Dingle,10.9995,122.6711,73.71,94,89,7.52,PH,1643733197
Haines Junction,60.7522,-137.5108,-41.85,66,90,0.0,CA,1643733373
Arman',59.7,150.1667,1.78,81,79,9.66,RU,1643733373
Abaza,52.655,90.0928,7.83,98,100,0.76,RU,1643733373
São Luís de Montes Belos,-16.525,-50.3722,78.55,80,99,6.8,BR,1643733374
Fairbanks,64.8378,-147.7164,-12.41,73,0,0.0,US,1643733313
Muisne,0.6,-80.0333,78.91,75,100,7.18,EC,1643733374
Caravelas,-17.7125,-39.2481,88.05,58,98,10.51,BR,1643733374
Cassilândia,-19.1133,-51.7342,72.97,92,100,3.4,BR,1643733375
Mulegé,26.8833,-111.9833,70.05,27,6,3.06,MX,1643733375
São Luiz Gonzaga,-28.4083,-54.9608,99.79,16,0,5.77,BR,1643733375
Rumonge,-3.9736,29.4386,70.03,86,100,2.98,BI,1643733376
Øksfjord,70.2396,22.3479,26.78,64,85,9.91,NO,1643733376
Fuyang,32.9,115.8167,36.0,50,100,5.46,CN,1643733376
Naantali,60.4674,22.0243,15.12,92,20,0.0,FI,1643733377
Nishihara,26.1842,127.7558,64.06,72,100,9.22,JP,1643733377
Zhangye,38.9342,100.4517,19.9,27,87,2.68,CN,1643733377
Viedma,-40.8135,-62.9967,79.34,29,42,13.62,AR,1643733378
Havelock,34.8791,-76.9013,51.98,65,0,5.01,US,1643733378
Kayerkan,69.3497,87.7602,5.52,77,100,7.38,RU,1643733378
Batouri,4.4333,14.3667,85.35,20,23,1.52,CM,1643733379
Inhambane,-23.865,35.3833,84.18,70,20,11.5,MZ,1643733379
Shubarkuduk,49.1447,56.4872,21.2,88,99,11.27,KZ,1643733379
Konongo,6.6167,-1.2167,94.8,11,3,3.89,GH,1643733380
Snezhnogorsk,69.1933,33.2531,6.96,100,100,2.66,RU,1643733380
Igarka,67.4667,86.5833,8.74,94,100,14.09,RU,1643733380
Loreto,22.2667,-101.9667,61.45,16,0,11.48,MX,1643733381
Elmont,40.7009,-73.7129,36.84,59,20,5.01,US,1643733381
Pyryatyn,50.2445,32.5107,16.27,95,10,6.8,UA,1643733381
Shahrud,36.4182,54.9763,34.84,77,100,2.06,IR,1643733382
Broome,42.2506,-75.833,32.45,48,46,3.0,US,1643733382
Kawalu,-7.3817,108.2082,73.8,94,100,3.0,ID,1643733382
Aden,12.7794,45.0367,78.17,75,36,9.78,YE,1643733218
Sémbé,1.6481,14.5806,86.31,32,76,1.52,CG,1643733190
Ahipara,-35.1667,173.1667,69.1,88,100,15.21,NZ,1643733383
Sistranda,63.7256,8.834,24.76,62,100,11.99,NO,1643733383
Shimanovsk,52.0,127.7,-7.13,91,7,6.82,RU,1643733384
Banjar,-8.19,114.9675,80.46,92,94,0.6,ID,1643733444
Pemba,-12.974,40.5178,84.9,74,75,10.36,MZ,1643733444
São Miguel do Araguaia,-13.275,-50.1628,82.89,68,94,4.99,BR,1643733377
Amursk,50.2261,136.8994,-7.67,99,94,3.8,RU,1643733445
Itupiranga,-5.1347,-49.3267,88.12,71,98,0.87,BR,1643733316
Oranjemund,-28.55,16.4333,68.7,80,38,12.35,NA,1643733445
Praia,14.9215,-23.5087,81.14,57,96,12.66,CV,1643733145
Vestmanna,62.1564,-7.1664,31.12,69,100,24.16,FO,1643733446
Kattivākkam,13.2167,80.3167,78.89,63,1,8.39,IN,1643733446
Rettikhovka,44.1683,132.7669,2.68,99,100,1.1,RU,1643733446
Lavrentiya,65.5833,-171.0,3.74,68,16,20.13,RU,1643733446
Bulle,46.6195,7.0567,37.58,74,99,11.99,CH,1643733447
Kumul,42.8,93.45,23.18,33,15,3.42,CN,1643733169
Grand Gaube,-20.0064,57.6608,79.38,82,97,13.0,MU,1643733447
Tura,25.5198,90.2201,53.96,68,15,3.8,IN,1643733447
Sambava,-14.2667,50.1667,79.86,81,64,14.94,MG,1643733448
Cayenne,4.9333,-52.3333,75.24,94,75,5.75,GF,1643733448
Hambantota,6.1241,81.1185,76.33,74,7,16.17,LK,1643733448
Grand-Lahou,5.1367,-5.0242,83.66,68,79,11.21,CI,1643733449
Fujin,47.26,132.0322,-1.95,92,19,8.88,CN,1643733449
Poyarkovo,49.6,128.6833,-17.32,100,40,4.68,RU,1643733449
Ust'-Ilimsk,58.0006,102.6619,3.04,98,100,2.91,RU,1643733450
Chumikan,54.7183,135.315,-7.62,86,13,13.31,RU,1643733450
Bonavista,48.6499,-53.1147,28.11,54,27,20.45,CA,1643733450
Gizo Government Station,-8.103,156.8419,82.69,78,96,10.6,SB,1643733451
Marondera,-18.1853,31.5519,64.98,82,73,4.05,ZW,1643733451
Dombarovskiy,50.7587,59.5386,17.94,84,100,14.54,RU,1643733451
Port Elizabeth,-33.918,25.5701,81.1,69,20,4.61,ZA,1643733451
Maryville,35.7565,-83.9705,53.1,43,40,3.44,US,1643733374
Bitung,1.4451,125.1824,77.85,85,100,9.42,ID,1643733337
Chase,50.8165,-119.6857,29.19,96,95,4.59,CA,1643733452
Padang,-0.9492,100.3543,75.94,92,100,4.92,ID,1643733452
Pimenta Bueno,-11.6725,-61.1936,74.28,92,98,2.13,BR,1643733453
Launceston,-41.45,147.1667,54.61,54,72,5.99,AU,1643733453
Warmbad,-28.45,18.7333,85.5,46,100,10.94,NA,1643733453
Khani,41.9563,42.9566,36.97,81,81,7.7,GE,1643733453
La Ronge,55.1001,-105.2842,-14.55,70,0,9.22,CA,1643733454
Muros,42.7762,-9.0603,65.68,51,1,7.34,ES,1643733417
Bulawayo,-20.15,28.5833,71.76,65,90,5.41,ZW,1643733454
Hammerfest,70.6634,23.6821,26.33,73,40,5.75,NO,1643733314
Halifax,44.6453,-63.5724,22.21,52,20,1.01,CA,1643733231
Jackson,42.4165,-122.8345,33.04,93,0,0.0,US,1643733334
Rawson,-43.3002,-65.1023,76.39,38,33,4.81,AR,1643733455
Shakiso,5.75,38.9167,64.33,30,96,3.78,ET,1643733455
Verāval,20.9,70.3667,71.37,82,0,8.03,IN,1643733455
Srednekolymsk,67.45,153.6833,-22.09,97,100,4.63,RU,1643733456
Pangody,65.85,74.4859,-13.59,100,89,5.97,RU,1643733456
Gushikawa,26.3544,127.8686,63.99,68,100,12.66,JP,1643733456
Atlantic Beach,30.3344,-81.3987,69.06,63,40,3.0,US,1643733333
Umred,20.85,79.3333,66.49,28,0,3.62,IN,1643733517
Torbay,47.6666,-52.7314,28.58,54,40,21.85,CA,1643733517
Alekseyevsk,57.8406,108.3492,-5.19,100,98,2.77,RU,1643733517
Tezu,27.9167,96.1667,52.77,94,99,3.2,IN,1643733518
Lock Haven,41.137,-77.4469,35.69,64,99,8.99,US,1643733518
Bauchi,10.5,10.0,79.25,14,8,6.17,NG,1643733519
Ulaangom,49.9811,92.0667,-22.97,90,77,3.2,MN,1643733519
Venkatagiri,13.9667,79.5833,70.29,80,0,4.41,IN,1643733520
Loikaw,19.6742,97.2094,55.65,51,4,3.8,MM,1643733520
Vokhtoga,58.8147,41.0461,23.29,96,100,6.53,RU,1643733520
Bilibino,68.0546,166.4372,8.98,66,100,6.58,RU,1643733521
Touros,-5.1989,-35.4608,90.5,61,10,14.47,BR,1643733521
Gubkinskiy,64.434,76.5026,-7.38,100,91,3.51,RU,1643733521
Esperance,-33.8667,121.9,60.64,65,64,16.28,AU,1643733521
La Fria,8.2203,-72.2439,82.51,49,68,6.13,VE,1643733522
Nhulunbuy,-12.2333,136.7667,77.61,94,100,8.05,AU,1643733343
Nehe,48.4833,124.8333,-9.29,93,87,3.22,CN,1643733522
Châteaudun,48.0833,1.3333,50.14,95,100,12.59,FR,1643733522
Ust-Maya,60.4167,134.5333,-15.32,99,100,3.13,RU,1643733523
Synya,65.3718,58.0387,-5.21,100,35,3.47,RU,1643733523
Bahía Blanca,-38.7196,-62.2724,93.43,18,35,14.9,AR,1643733523
Mlonggo,-6.5333,110.7,73.53,86,96,4.97,ID,1643733524
Cotonou,6.3654,2.4183,89.58,37,98,9.22,BJ,1643733479
Southbridge,42.0751,-72.0334,32.49,62,25,4.0,US,1643733524
Diamantino,-14.4086,-56.4461,73.35,91,100,6.49,BR,1643733524
Alofi,-19.0595,-169.9187,67.89,94,9,1.14,NU,1643733525
Deniliquin,-35.5333,144.9667,57.0,61,0,14.0,AU,1643733525
Mayo,38.8876,-76.5119,40.55,63,0,1.01,US,1643733526
Sitka,57.0531,-135.33,30.09,86,100,0.0,US,1643733417
Sofiyivka,48.0493,33.8746,28.92,90,95,1.1,UA,1643733526
Lárdos,36.0942,28.0157,55.22,77,100,18.59,GR,1643733526
Mackay,-21.15,149.2,78.67,94,40,0.0,AU,1643733526
Gobabis,-22.45,18.9667,71.4,75,99,3.51,NA,1643733527
San Miguel de Tucumán,-26.8241,-65.2226,86.0,51,0,3.44,AR,1643733371
Khovd,48.0056,91.6419,-6.09,90,100,0.47,MN,1643733527
Canavieiras,-15.675,-38.9472,86.77,59,28,10.11,BR,1643733527
Kichera,55.9375,110.0997,-10.7,91,85,4.54,RU,1643733528
Geraldton,-28.7667,114.6,84.61,28,98,12.66,AU,1643733528
Ponta do Sol,32.6667,-17.1,68.63,64,13,13.15,PT,1643733528
Benghazi,32.1167,20.0667,58.59,58,68,19.98,LY,1643733529
Baghdad,33.3406,44.4009,53.51,66,0,5.75,IQ,1643733425
Calama,-22.4667,-68.9333,71.62,25,1,17.94,CL,1643733290
Constitución,-35.3333,-72.4167,68.86,61,4,8.75,CL,1643733529
Seymchan,62.8833,152.4333,-8.0,94,100,7.02,RU,1643733530
Omaruru,-21.4333,15.9333,75.88,49,99,13.11,NA,1643733530
Bouza,14.4229,6.0428,75.2,9,0,7.61,NE,1643733590
Khvoynaya,58.9,34.5333,18.84,96,100,4.81,RU,1643733590
Querecotillo,-4.8378,-80.6456,87.48,38,52,6.6,PE,1643733591
Moussoro,13.6408,16.4901,72.7,12,0,10.69,TD,1643733591
Mayumba,-3.432,10.6554,80.44,81,56,6.26,GA,1643733591
Poronaysk,49.2167,143.1167,0.28,92,81,6.15,RU,1643733592
Belaya Gora,68.5333,146.4167,-19.66,99,100,3.47,RU,1643733592
Mossamedes,-15.1961,12.1522,75.92,64,22,13.04,AO,1643733592
Kyabram,-36.3167,145.05,56.88,61,0,16.28,AU,1643733593
Tagusao,9.1924,117.8141,77.72,86,61,5.08,PH,1643733593
Makakilo City,21.3469,-158.0858,71.92,82,0,3.44,US,1643733593
Vincennes,48.85,2.4333,50.56,91,100,8.01,FR,1643733593
Nantucket,41.2835,-70.0995,39.31,68,100,12.66,US,1643733445
Safi,32.2994,-9.2372,69.51,45,0,16.44,MA,1643733594
Polson,47.6936,-114.1632,22.1,88,99,3.13,US,1643733594
Abhā,18.2164,42.5053,58.82,77,0,4.61,SA,1643733586
Klatovy,49.3955,13.2951,35.53,86,100,24.2,CZ,1643733595
Reyes,-14.3167,-67.3833,85.96,70,100,0.0,BO,1643733595
Kununurra,-15.7667,128.7333,78.78,83,100,6.91,AU,1643733372
The Pas,53.8251,-101.2541,-12.98,70,0,16.11,CA,1643733595
Mopipi,-21.1833,24.8833,80.15,54,98,6.53,BW,1643733596
Wajir,1.7471,40.0573,93.16,31,0,0.0,KE,1643733596
Svecha,58.2785,47.5164,27.39,93,100,11.01,RU,1643733596
Mengyin,35.7069,117.9264,29.68,36,100,1.97,CN,1643733597
Northam,51.0333,-4.2167,52.02,94,99,20.6,GB,1643733597
Vila Franca do Campo,37.7167,-25.4333,66.2,69,58,12.26,PT,1643733597
Puerto Suárez,-18.95,-57.8,90.16,62,75,2.3,BO,1643733598
Mugur-Aksy,50.35,90.5,-8.0,97,70,5.3,RU,1643733598
‘Ewa Beach,21.3156,-158.0072,73.35,82,0,3.0,US,1643733598
Port Hawkesbury,45.6169,-61.3485,23.92,86,100,8.01,CA,1643733599
Xaçmaz,41.4635,48.806,38.97,85,18,4.97,AZ,1643733599
Inuvik,68.3499,-133.7218,-10.34,77,75,4.61,CA,1643733315
Faranah,10.0404,-10.7434,92.73,9,93,9.01,GN,1643733599
Altyn-Topkan,40.6528,69.5998,27.07,40,36,7.76,TJ,1643733600
Tsiroanomandidy,-18.7667,46.0333,73.65,69,38,2.21,MG,1643733600
Samarai,-10.6167,150.6667,81.32,77,99,14.83,PG,1643733601
Vicuña,-30.0319,-70.7081,82.78,56,99,6.91,CL,1643733601
Cairns,-16.9167,145.7667,79.07,97,40,3.44,AU,1643733533
Nara,34.6851,135.8049,42.08,47,14,13.98,JP,1643733601
Svetlaya,46.5389,138.3297,8.4,74,13,9.46,RU,1643733602
Vaitape,-16.5167,-151.75,80.65,75,7,19.33,PF,1643733603
